"nie_malla_modi_id","sen_slope_pnsp","sen_slope_per_pnsp","p_value_pnsp","tau_pnsp"
1618318,0,0,1,0
1618319,0,0,0.9561,-0.022
1618320,-0.223,-1.77,0.78313,-0.066
1618321,0,0,0.82224,0.055
1618322,0,0,0.62797,0.088
1618323,0,0,1,0.011
1618324,0,0,0.10176,0.209
1618325,0,0,0.62797,0.088
1618326,0,0,0.69953,0.077
1618327,0,0,0.69953,0.077
1618328,0,0,0.69953,0.077
1618329,0,0,1,0
1618330,0,0,0.69953,0.077
1618331,0,0,0.93862,-0.022
1618332,0,0,0.52005,-0.121
1618333,0,0,0.90282,-0.033
1618334,0,0,0.52901,-0.132
1618335,0,0,1,0.011
1618336,0,0,1,0.011
1618337,0,0,0.44471,-0.154
1618338,0,0,0.93862,0.022
1618339,0,0,0.93862,0.022
1618340,0,0,0.46706,0.099
1620712,0,0,0.60651,-0.11
1620713,0,0,0.91166,0.033
1620714,0,0,1,0.011
1620715,0,0,0.9561,0.022
1620716,0.035,0.27,0.82546,0.055
1620717,0,0,1,0
1620718,0,0,1,0
1620719,0,0,0.9561,-0.022
1620720,0,0,0.9561,-0.022
1620721,-0.063,-0.32,0.86883,-0.044
1620722,-0.004,-0.03,0.86883,-0.044
1620723,0.002,0.03,0.65722,0.099
1620724,0,0,0.82224,0.055
1620725,0,0,0.72924,0.066
1620726,0,0,0.14347,0.22
1620727,0,0,0.62797,0.088
1620728,0,0,0.95312,0.022
1620729,0,0,0.60651,0.11
1620730,0,0,0.69953,0.077
1620731,0,0,0.73612,0.077
1620732,0,0,0.68871,0.088
1620733,0,0,0.62528,-0.099
1620734,0,0,0.90282,-0.033
1620735,0,0,0.82224,-0.055
1620736,0,0,0.86598,-0.044
1620737,0,0,0.44471,-0.154
1620738,0,0,0.24691,-0.209
1620739,0,0,0.93862,0.022
1620740,0,0,0.46706,0.099
1623115,0,0,0.91056,-0.033
1623116,0.015,0.19,0.5791,0.121
1623117,0,0,0.9561,0.022
1623118,0,0,0.9561,-0.022
1623119,0,0,1,0
1623120,0,0,1,0
1623121,0,0,1,0
1623122,0,0,1,0
1623123,0,0,1,0
1623124,0,0,0.9561,0.022
1623125,0,0,0.9561,-0.022
1623126,0.002,0.03,0.65722,0.099
1623127,0,0,0.7688,0.066
1623128,0,0,0.14347,0.22
1623129,0,0,0.10176,0.209
1623130,0,0,1,-0.011
1623131,0,0,0.73612,0.077
1623132,0,0,0.82224,0.055
1623133,0,0,0.6532,0.099
1623134,0.057,1.39,0.50032,0.143
1623135,0.016,0.31,0.57435,0.121
1623136,0,0,0.6532,0.099
1623137,0,0,0.6532,0.099
1623138,0,0,0.52901,-0.132
1623139,0,0,0.52005,-0.121
1623140,0,0,0.46706,0.099
1623141,0,0,0.46706,0.099
1623142,0,0,0.32106,0.099
1625520,0,0,0.9561,-0.022
1625521,0,0,1,0
1625522,0,0,1,0
1625523,0,0,1,0
1625524,-0.33,-1.18,1,-0.011
1625525,-0.52,-1.71,0.82667,-0.055
1625526,-0.4,-1.5,0.86935,-0.044
1625527,0,0,0.9561,-0.022
1625528,0.002,0.03,0.65722,0.099
1625529,0,0,1,-0.011
1625530,0,0,0.7688,0.066
1625531,0,0,0.62797,0.088
1625532,0,0,0.72924,0.066
1625533,0,0,0.59673,0.11
1625534,0,0,0.6532,0.099
1625535,0.13,2.07,0.43168,0.165
1625536,0.141,1.9,0.73927,0.077
1625537,0.105,1.38,0.73927,0.077
1625538,0,0,1,-0.011
1625539,0,0,0.6532,0.099
1625540,0,0,0.90282,-0.033
1625541,0,0,0.53326,-0.11
1625542,0,0,0.46706,0.099
1625543,0,0,0.46706,0.099
1625544,0,0,0.32106,0.099
1627925,-0.551,-1.79,0.82667,-0.055
1627926,-0.52,-1.71,0.82667,-0.055
1627927,-0.535,-1.74,0.82667,-0.055
1627928,0,0,0.9561,0.022
1627929,0,0,0.9561,-0.022
1627930,0.002,0.04,0.65722,0.099
1627931,0,0,0.86368,0.044
1627932,0,0,1,-0.011
1627933,0,0,0.68069,0.088
1627934,0,0,0.6532,0.099
1627935,0.003,0.06,0.57435,0.121
1627936,0.002,0.03,0.78313,0.066
1627937,0.002,0.03,0.78313,0.066
1627938,0.027,0.37,0.5791,0.121
1627939,0.006,0.18,0.57435,0.121
1627940,0,0,0.82224,0.055
1627941,0,0,0.52901,-0.132
1627942,0,0,0.52005,-0.121
1627943,0,0,0.46706,0.099
1627944,0,0,0.46706,0.099
1627945,0,0,0.46706,0.099
1627946,0,0,0.32106,0.099
1627947,0,0,0.32106,0.099
1627948,0,0,0.46706,0.099
1630328,-0.321,-0.74,0.74256,-0.077
1630329,-0.49,-1.27,0.82667,-0.055
1630330,-0.42,-1.51,0.86935,-0.044
1630331,0,0,0.9561,-0.022
1630332,0.002,0.04,0.65722,0.099
1630333,0.002,0.04,0.65722,0.099
1630334,0,0,0.86763,0.044
1630335,0,0,0.82441,0.055
1630336,0,0,0.91166,0.033
1630337,0,0,0.9561,-0.022
1630338,0,0,0.9561,0.022
1630339,0,0,0.82441,0.055
1630340,0.009,0.19,0.73927,0.077
1630341,0,0,0.86368,-0.044
1630342,0,0,1,0
1630343,0,0,0.62528,-0.099
1630344,0,0,0.46706,0.099
1630345,0,0,0.53326,-0.11
1630346,0,0,0.24691,-0.209
1630347,0,0,0.46706,0.099
1630348,0,0,0.46706,0.099
1630349,0,0,0.93862,0.022
1632730,-1.182,-2.31,0.82667,-0.055
1632731,-0.4,-1.15,0.91281,-0.033
1632732,0,0,0.9561,0.022
1632733,0,0,0.9561,0.022
1632734,0,0,0.9561,0.022
1632735,0.02,0.25,0.69999,0.088
1632736,0.013,0.25,0.69999,0.088
1632737,0.1,1.04,0.62029,0.11
1632738,0.117,1.14,0.69999,0.088
1632739,0.035,0.24,0.78313,0.066
1632740,0.04,0.27,0.86883,0.044
1632741,0.143,1.76,0.65722,0.099
1632742,0,0,0.82441,0.055
1632743,0,0,0.82441,0.055
1632744,0,0,0.9557,-0.022
1632745,0,0,0.91166,-0.033
1632746,0,0,0.45689,-0.154
1632747,0,0,0.82224,-0.055
1632748,0,0,0.45689,-0.154
1632749,0,0,0.83548,0.044
1632750,0,0,0.93862,0.022
1632754,0,0,0.46706,0.099
1632755,0,0,0.46706,0.099
1632756,0,0,0.32106,0.099
1632775,0,0,0.46706,0.099
1635130,-0.542,-1.66,0.74256,-0.077
1635131,-0.44,-0.96,0.91281,-0.033
1635132,-1.617,-3.2,0.66142,-0.099
1635133,-0.51,-1.14,0.82667,-0.055
1635134,-0.43,-1.53,0.86935,-0.044
1635135,-0.47,-1.61,0.78398,-0.066
1635136,0.084,0.42,0.86883,0.044
1635137,0,0,1,0
1635138,0.023,0.24,0.86883,0.044
1635139,0.285,1.76,0.69999,0.088
1635140,0.068,0.34,0.78313,0.066
1635141,0.05,0.22,0.86883,0.044
1635142,0.175,1.24,0.69999,0.088
1635143,0.07,1.11,0.73927,0.077
1635144,0,0,0.82441,0.055
1635145,0,0,0.91166,0.033
1635146,0,0,0.91166,0.033
1635147,0,0,1,0.011
1635148,0,0,1,0.011
1635149,0,0,1,-0.011
1635150,0,0,0.49153,-0.143
1635151,-0.004,-0.39,0.21699,-0.242
1635152,0,0,0.81732,0.044
1635154,0,0,0.85573,0.033
1635155,0,0,0.85573,0.033
1635156,0,0,0.46706,0.099
1635157,0,0,0.93862,0.022
1635158,0,0,0.46706,0.099
1635169,0,0,0.46706,0.099
1635170,0,0,0.93862,-0.022
1635174,0,0,0.93862,-0.022
1635175,0,0,0.93862,-0.022
1635176,0,0,0.93862,-0.022
1635177,0,0,0.93862,-0.022
1635178,0,0,0.93862,-0.022
1635180,0,0,0.46706,0.099
1635181,0,0,0.93862,-0.022
1635184,0,0,0.81732,0.044
1635185,0,0,0.81732,0.044
1635208,0,NA,NA,0
1635209,0,NA,NA,0
1635210,0,NA,NA,0
1635211,0,NA,NA,0
1635212,0,NA,NA,0
1635213,0,NA,NA,0
1637531,0.137,0.72,0.86883,0.044
1637532,-0.055,-0.19,0.86935,-0.044
1637533,-0.466,-1.26,0.82667,-0.055
1637534,-0.93,-2.3,0.82667,-0.055
1637535,-0.52,-1.2,0.91281,-0.033
1637536,-0.995,-2.01,0.74256,-0.077
1637537,-0.43,-1.24,0.82667,-0.055
1637538,0.09,0.45,0.78313,0.066
1637539,0.113,0.74,0.69999,0.088
1637540,0.237,1.56,0.69999,0.088
1637541,0.06,0.25,0.86883,0.044
1637542,-0.114,-0.43,0.78398,-0.066
1637543,-0.412,-1.34,0.82667,-0.055
1637544,0.435,2.38,0.69999,0.088
1637545,0.002,0.02,0.78313,0.066
1637546,0.002,0.02,0.78313,0.066
1637547,0.002,0.02,0.78313,0.066
1637548,0,0,1,-0.011
1637549,0,0,0.82441,0.055
1637550,0,0,1,0.011
1637551,-0.001,-0.09,0.43168,-0.165
1637552,0,0,0.45689,-0.154
1637553,-0.004,-0.4,0.21699,-0.242
1637554,0,0,0.81732,0.044
1637555,0,0,0.81732,0.044
1637556,0,0,0.81732,0.044
1637557,0,0,0.83548,0.044
1637558,0,0,0.69953,-0.077
1637559,0,0,0.83548,0.044
1637560,0,0,0.93862,0.022
1637566,0,0,0.93862,-0.022
1637567,0,0,0.53326,-0.11
1637571,0,0,0.93862,-0.022
1637576,0,0,0.93862,-0.022
1637577,0,0,0.93862,-0.022
1637578,0,0,0.93862,-0.022
1637579,0,0,0.53326,-0.11
1637580,0,0,0.93862,-0.022
1637584,0,0,0.62797,-0.088
1637585,0,0,0.62797,-0.088
1637586,0,0,0.62797,-0.088
1637587,0,0,0.81732,0.044
1637594,0,0,0.60682,0.099
1637607,0,0,0.21485,0.121
1637608,0,0,0.21485,0.121
1637609,0,NA,NA,0
1637610,0,NA,NA,0
1637611,0,NA,NA,0
1637612,0,NA,NA,0
1637613,0,NA,NA,0
1637614,0,NA,NA,0
1637615,0,NA,NA,0
1637616,0,NA,NA,0
1637617,0,NA,NA,0
1637618,0,NA,NA,0
1639929,0,0,0.82224,0.055
1639930,0.009,0.12,0.73927,0.077
1639933,-0.303,-1.93,0.78313,-0.066
1639934,0,0,1,0
1639935,0,0,0.9561,0.022
1639936,0,0,0.9561,0.022
1639937,-1.19,-3.05,0.66142,-0.099
1639938,-2.12,-4.48,0.74256,-0.077
1639939,-1.474,-3.6,0.51122,-0.143
1639940,-0.098,-0.31,0.82667,-0.055
1639941,0,0,0.9561,-0.022
1639942,0,0,0.9561,-0.022
1639943,-0.425,-1.31,0.82667,-0.055
1639944,-0.62,-1.62,0.66142,-0.099
1639945,-0.826,-2.39,0.58407,-0.121
1639946,0,0,0.9561,0.022
1639947,0.026,0.13,0.86883,0.044
1639948,0.028,0.13,0.86883,0.044
1639949,0.243,1.63,0.62029,0.11
1639950,0,0,1,0.011
1639951,0,0,0.91166,0.033
1639952,0,0,1,0.011
1639953,-0.005,-0.34,0.31203,-0.209
1639954,0,0,0.62528,-0.099
1639955,0,0,0.69953,-0.077
1639956,0,0,0.81732,0.044
1639957,0,0,0.85573,0.033
1639958,0,0,0.83548,0.044
1639959,0,0,0.27184,-0.209
1639960,0,0,0.27184,-0.209
1639961,0,0,0.93862,0.022
1639964,0,0,0.81732,0.044
1639966,0,0,0.81732,0.044
1639967,0,0,0.93862,-0.022
1639968,0,0,0.53326,-0.11
1639969,0,0,0.62797,-0.088
1639972,0,0,0.93862,-0.022
1639973,0,0,0.93862,-0.022
1639978,0,0,0.53326,-0.11
1639979,0,0,0.53326,-0.11
1639980,0,0,0.32869,-0.187
1639981,0,0,0.36781,-0.165
1639982,0,0,0.93862,-0.022
1639985,0,0,0.62797,-0.088
1639986,0,0,0.62528,-0.099
1639987,0,0,0.31759,-0.198
1639988,0,0,0.62797,-0.088
1639991,0,0,0.81732,0.044
1639992,0,0,0.14347,0.22
1639993,0,0,0.10588,0.242
1639994,0,0,0.10588,0.242
1639995,0,0,0.36815,0.154
1640007,0,0,0.21485,0.121
1640008,0,0,0.21485,0.121
1640009,0,0,0.21485,0.121
1640010,0,NA,NA,0
1640011,0,NA,NA,0
1640012,0,0,0.21485,0.121
1640013,0,NA,NA,0
1640014,0,NA,NA,0
1640015,0,NA,NA,0
1640016,0,NA,NA,0
1640017,0,NA,NA,0
1640018,0,NA,NA,0
1640019,0,NA,NA,0
1640020,0,NA,NA,0
1640021,0,NA,NA,0
1640022,0,NA,NA,0
1640023,0,NA,NA,0
1642331,0,0,0.9561,0.022
1642332,0.046,0.26,0.78398,0.066
1642333,0.04,0.26,0.86883,0.044
1642334,0.019,0.26,0.86883,0.044
1642335,0,0,0.82441,0.055
1642336,0,0,1,0
1642337,0,0,1,0
1642338,0.128,0.68,0.78313,0.066
1642339,0,0,1,0
1642340,-1.159,-2.54,0.66142,-0.099
1642341,-0.804,-1.56,0.74256,-0.077
1642342,-1.238,-2.65,0.66142,-0.099
1642343,-1.206,-2.58,0.58407,-0.121
1642344,-1.85,-4.68,0.51122,-0.143
1642345,-1.167,-2.54,0.58407,-0.121
1642346,-0.832,-1.7,0.91281,-0.033
1642347,-1.08,-2.5,0.66142,-0.099
1642348,-0.696,-1.91,0.66142,-0.099
1642349,-0.256,-0.96,0.82667,-0.055
1642350,0.026,0.13,0.86883,0.044
1642351,0.127,0.99,0.69999,0.088
1642352,0,0,0.91166,-0.033
1642353,0,0,1,0.011
1642354,0,0,0.82441,-0.055
1642355,-0.003,-0.25,0.33891,-0.198
1642356,0,0,0.62528,-0.099
1642357,0,0,0.62528,-0.099
1642358,0,0,0.69953,-0.077
1642359,0,0,0.81732,0.044
1642360,-0.004,-0.39,0.21699,-0.242
1642361,-0.028,-1.67,0.07605,-0.352
1642362,0,0,0.27184,-0.209
1642363,0,0,0.89763,-0.033
1642364,0,0,0.81732,0.044
1642365,0,0,0.93862,0.022
1642366,0,0,0.62797,-0.088
1642367,0,0,0.93862,0.022
1642368,0,0,0.62797,-0.088
1642369,0,0,0.60682,-0.099
1642370,0,0,0.60682,-0.099
1642371,0,0,0.60682,-0.099
1642372,-0.011,-0.66,0.15251,-0.286
1642374,0,0,0.53326,-0.11
1642375,0,0,0.93862,-0.022
1642377,0,0,0.93862,-0.022
1642381,0,0,0.62797,-0.088
1642382,0,0,0.39274,-0.165
1642383,0,0,0.30337,-0.187
1642384,0,0,0.62797,-0.088
1642385,0,0,0.62797,-0.088
1642387,0,0,0.62797,-0.088
1642388,0,0,0.54155,-0.121
1642389,0,0,0.54155,-0.121
1642390,0,0,0.69953,-0.077
1642392,0,0,0.72924,-0.066
1642393,0,0,0.60682,0.099
1642394,0,0,0.69953,0.077
1642395,0,0,0.10588,0.242
1642396,0,0,0.36815,0.154
1642406,0,0,0.44636,0.132
1642407,0,0,0.14347,0.22
1642408,0,0,0.14347,0.22
1642409,0,0,0.14347,0.22
1642410,0,0,0.21485,0.121
1642411,0,0,0.21485,0.121
1642412,0,0,0.21485,0.121
1642413,0,0,0.21485,0.121
1642414,0,0,0.21485,0.121
1642415,0,0,0.21485,0.121
1642416,0,0,0.21485,0.121
1642417,0,0,0.21485,0.121
1642418,0,NA,NA,0
1642419,0,NA,NA,0
1642420,0,NA,NA,0
1642421,0,NA,NA,0
1642422,0,NA,NA,0
1642423,0,NA,NA,0
1642424,0,NA,NA,0
1642425,0,NA,NA,0
1642426,0,NA,NA,0
1642427,0,NA,NA,0
1642428,0,NA,NA,0
1644734,0.002,0.01,0.95628,0.022
1644735,0.062,0.23,0.95628,0.022
1644736,0.052,0.27,0.78398,0.066
1644737,0,0,0.9561,-0.022
1644738,0,0,0.9561,0.022
1644739,0,0,0.9561,0.022
1644740,0.106,0.42,0.86883,0.044
1644741,0,0,1,0
1644742,-0.533,-1.63,0.82667,-0.055
1644743,-0.926,-2.3,0.66142,-0.099
1644744,-0.9,-1.78,0.74256,-0.077
1644745,-2.362,-4.17,0.74256,-0.077
1644746,-2.318,-4.21,0.74256,-0.077
1644747,-2.366,-4.2,0.74256,-0.077
1644748,-2.186,-3.75,0.74256,-0.077
1644749,-2.317,-4.32,0.66142,-0.099
1644750,-1.167,-2.77,0.66142,-0.099
1644751,-0.419,-1.45,0.74256,-0.077
1644752,0.397,2.55,0.62029,0.11
1644753,0.002,0.02,0.86883,0.044
1644754,0,0,0.82441,0.055
1644755,0.015,0.35,0.73927,0.077
1644756,0,0,1,0.011
1644757,0,0,0.44471,-0.154
1644758,0,0,0.62528,-0.099
1644759,0,0,0.86368,-0.044
1644760,0,0,0.81732,0.044
1644761,0,0,0.69953,-0.077
1644762,0,0,0.45689,-0.154
1644763,-0.006,-0.48,0.21699,-0.242
1644764,0,0,0.27184,-0.209
1644765,0,0,0.69953,-0.077
1644766,0,0,0.27184,-0.209
1644767,0,0,0.27184,-0.209
1644768,0,0,0.60682,-0.099
1644769,0,0,0.69953,-0.077
1644770,0,0,0.60682,-0.099
1644771,0,0,0.60682,-0.099
1644772,-0.019,-1.05,0.09699,-0.33
1644773,-0.032,-1.32,0.31806,-0.209
1644774,-0.012,-0.72,0.1223,-0.308
1644775,0,0,0.53326,-0.11
1644776,0,0,0.62797,-0.088
1644779,0,0,0.53326,-0.11
1644782,0,0,0.62797,-0.088
1644783,0,0,0.62797,-0.088
1644784,-0.003,-0.13,0.43168,-0.165
1644785,0,0,0.52901,-0.132
1644786,0,0,0.32869,-0.187
1644787,0,0,0.62797,-0.088
1644789,0,0,0.62797,-0.088
1644790,0,0,1,-0.011
1644791,0,0,0.37786,-0.176
1644792,0,0,0.69953,-0.077
1644793,0,0,0.81732,0.044
1644794,0,0,0.69953,-0.077
1644795,0.002,0.09,0.33061,0.198
1644796,0,0,0.51784,0.132
1644797,0,0,0.60682,0.099
1644798,0,0,0.54155,0.121
1644803,0,0,0.10588,0.242
1644809,0,0,0.14347,0.22
1644810,0,0,0.06904,0.231
1644811,0,0,0.06904,0.231
1644812,0,0,0.21485,0.121
1644813,0,0,0.21485,0.121
1644814,0,0,0.21485,0.121
1644815,0,0,0.21485,0.121
1644816,0,0,0.14347,0.22
1644817,0,0,0.10588,0.242
1644818,0,0,0.3633,0.121
1644819,0,0,0.21485,0.121
1644820,0,0,0.21485,0.121
1644821,0,0,1,0.011
1644822,0,NA,NA,0
1644823,0,NA,NA,0
1644824,0,NA,NA,0
1644825,0,NA,NA,0
1644826,0,NA,NA,0
1644827,0,NA,NA,0
1644828,0,NA,NA,0
1644829,0,NA,NA,0
1644830,0,NA,NA,0
1644831,0,NA,NA,0
1644832,0,NA,NA,0
1647136,0,0,1,0
1647137,-0.777,-1.89,0.78398,-0.066
1647138,0,0,1,0
1647139,0.11,0.39,0.95628,0.022
1647140,0.34,1.05,0.91281,0.033
1647141,-1.183,-3.2,0.74256,-0.077
1647142,-1.191,-2.88,0.58407,-0.121
1647143,-1.163,-2.85,0.58407,-0.121
1647144,-0.454,-1.52,0.58407,-0.121
1647145,-0.803,-1.58,0.74256,-0.077
1647146,-2.374,-4.11,0.74256,-0.077
1647147,-2.416,-3.86,0.74256,-0.077
1647148,-2.448,-3.77,0.74256,-0.077
1647149,-2.504,-3.84,0.74256,-0.077
1647150,-3.2,-4.68,0.58407,-0.121
1647151,-2.386,-4.39,0.66142,-0.099
1647152,-1.016,-2.36,0.66142,-0.099
1647153,-0.326,-1.19,0.82667,-0.055
1647154,0.416,2.39,0.69999,0.088
1647155,0.002,0.03,0.78313,0.066
1647156,0,0,0.82441,0.055
1647157,0,0,0.82441,-0.055
1647158,0,0,0.61265,-0.11
1647159,-0.005,-0.38,0.31203,-0.209
1647160,0,0,0.86763,-0.044
1647161,0,0,0.62528,-0.099
1647162,0,0,0.44471,-0.154
1647163,-0.005,-0.35,0.31203,-0.209
1647164,-0.074,-1.68,0.5791,-0.121
1647165,-0.034,-1.78,0.21659,-0.253
1647166,0,0,0.60682,-0.099
1647167,0,0,0.60682,-0.099
1647168,-0.006,-0.43,0.21699,-0.242
1647169,-0.023,-1.32,0.07605,-0.352
1647170,0,0,0.27184,-0.209
1647171,0,0,0.69953,-0.077
1647172,-0.024,-1.29,0.09699,-0.33
1647173,-0.002,-0.15,0.21699,-0.242
1647174,-0.01,-0.64,0.09699,-0.33
1647175,-0.02,-0.54,0.62029,-0.11
1647176,-0.024,-1.09,0.15962,-0.286
1647177,0,0,0.56182,-0.11
1647178,0,0,0.53326,-0.11
1647180,0,0,0.53326,-0.11
